Publication_Name,Country,Website,Google_Search,Isr_Cov_Actual
Calcalist,Israel,https://www.calcalist.co.il,https://www.google.com/search?q=site:https://www.calcalist.co.il+Israel,
Haaretz,Israel,https://www.haaretz.com,https://www.google.com/search?q=site:https://www.haaretz.com+Israel,
Israel Business News,Israel,https://www.globes.co.il,https://www.google.com/search?q=site:https://www.globes.co.il+Israel,
Israel Hayom,Israel,https://www.israelhayom.com,https://www.google.com/search?q=site:https://www.israelhayom.com+Israel,
Israel National News,Israel,https://www.israelnationalnews.com,https://www.google.com/search?q=site:https://www.israelnationalnews.com+Israel,
Jerusalem Post,Israel,https://www.jpost.com,https://www.google.com/search?q=site:https://www.jpost.com+Israel,
The Jerusalem Post,Israel,https://www.jpost.com,https://www.google.com/search?q=site:https://www.jpost.com+Israel,
The Times of Israel,Israel,https://www.timesofisrael.com,https://www.google.com/search?q=site:https://www.timesofisrael.com+Israel,
Ynet,Israel,https://www.ynetnews.com,https://www.google.com/search?q=site:https://www.ynetnews.com+Israel,
Ynetnews,Israel,https://www.ynetnews.com,https://www.google.com/search?q=site:https://www.ynetnews.com+Israel,
