Publication_Name,Country,Website,Google_Search,Isr_Cov_Actual
Ekonomika i Biznes,Russia,https://www.eibnet.ru,https://www.google.com/search?q=site:https://www.eibnet.ru+Israel,
Interfax,Russia,https://www.interfax.com,https://www.google.com/search?q=site:https://www.interfax.com+Israel,
Kommersant,Russia,https://www.kommersant.ru,https://www.google.com/search?q=site:https://www.kommersant.ru+Israel,
Lenta.ru,Russia,https://lenta.ru,https://www.google.com/search?q=site:https://lenta.ru+Israel,
Moscow Times,Russia,https://www.themoscowtimes.com,https://www.google.com/search?q=site:https://www.themoscowtimes.com+Israel,
Novaya Gazeta,Russia,https://novayagazeta.ru,https://www.google.com/search?q=site:https://novayagazeta.ru+Israel,
RBC,Russia,https://www.rbc.ru,https://www.google.com/search?q=site:https://www.rbc.ru+Israel,
RT (Russia Today),Russia,https://www.rt.com,https://www.google.com/search?q=site:https://www.rt.com+Israel,
RT,Russia,https://www.rt.com,https://www.google.com/search?q=site:https://www.rt.com+Israel,
Tass,Russia,https://tass.com,https://www.google.com/search?q=site:https://tass.com+Israel,
The Moscow Times,Russia,https://www.themoscowtimes.com,https://www.google.com/search?q=site:https://www.themoscowtimes.com+Israel,
