Publication_Name,Country,Website,Google_Search,Isr_Cov_Actual
Al-Quds Al-Arabi,UK,https://www.alquds.co.uk,https://www.google.com/search?q=site:https://www.alquds.co.uk+Israel,
BBC Arabic,UK,https://www.bbc.com/arabic,https://www.google.com/search?q=site:https://www.bbc.com/arabic+Israel,
BBC News,UK,https://www.bbc.com,https://www.google.com/search?q=site:https://www.bbc.com+Israel,
Belfast Telegraph,UK,https://www.belfasttelegraph.co.uk,https://www.google.com/search?q=site:https://www.belfasttelegraph.co.uk+Israel,
Channel 4 News,UK,https://www.channel4.com,https://www.google.com/search?q=site:https://www.channel4.com+Israel,
City A.M.,UK,https://www.cityam.com,https://www.google.com/search?q=site:https://www.cityam.com+Israel,
Daily Express,UK,https://www.express.co.uk,https://www.google.com/search?q=site:https://www.express.co.uk+Israel,
Daily Mail,UK,https://www.dailymail.co.uk,https://www.google.com/search?q=site:https://www.dailymail.co.uk+Israel,
Daily Mirror,UK,https://www.mirror.co.uk,https://www.google.com/search?q=site:https://www.mirror.co.uk+Israel,
Daily Telegraph,UK,https://www.telegraph.co.uk,https://www.google.com/search?q=site:https://www.telegraph.co.uk+Israel,
Evening Standard,UK,https://www.standard.co.uk,https://www.google.com/search?q=site:https://www.standard.co.uk+Israel,
Financial Times,UK,https://www.ft.com,https://www.google.com/search?q=site:https://www.ft.com+Israel,
First News,UK,https://www.firstnews.co.uk,https://www.google.com/search?q=site:https://www.firstnews.co.uk+Israel,
Fudzilla,UK,https://www.fudzilla.com,https://www.google.com/search?q=site:https://www.fudzilla.com+Israel,
Herald Scotland,UK,https://www.heraldscotland.com,https://www.google.com/search?q=site:https://www.heraldscotland.com+Israel,
Middle East Eye,UK,https://www.middleeasteye.net,https://www.google.com/search?q=site:https://www.middleeasteye.net+Israel,
Middle East Monitor,UK,https://www.middleeastmonitor.com,https://www.google.com/search?q=site:https://www.middleeastmonitor.com+Israel,
Reuters,UK,https://www.reuters.com,https://www.google.com/search?q=site:https://www.reuters.com+Israel,
Scotsman,UK,https://www.scotsman.com,https://www.google.com/search?q=site:https://www.scotsman.com+Israel,
Sheffield Telegraph,UK,https://www.sheffieldtelegraph.co.uk,https://www.google.com/search?q=site:https://www.sheffieldtelegraph.co.uk+Israel,
Shropshire Star,UK,https://www.shropshirestar.com,https://www.google.com/search?q=site:https://www.shropshirestar.com+Israel,
Sky News,UK,https://news.sky.com,https://www.google.com/search?q=site:https://news.sky.com+Israel,
The Daily Telegraph,UK,https://www.telegraph.co.uk,https://www.google.com/search?q=site:https://www.telegraph.co.uk+Israel,
The Guardian,UK,https://www.theguardian.com,https://www.google.com/search?q=site:https://www.theguardian.com+Israel,
The Independent,UK,https://www.independent.co.uk,https://www.google.com/search?q=site:https://www.independent.co.uk+Israel,
The Times,UK,https://www.thetimes.co.uk,https://www.google.com/search?q=site:https://www.thetimes.co.uk+Israel,
