Publication_Name,Country,Website,Google_Search,Isr_Cov_Actual
Black Press,Canada,https://www.blackpress.ca,https://www.google.com/search?q=site:https://www.blackpress.ca+Israel,
CBC News,Canada,https://www.cbc.ca,https://www.google.com/search?q=site:https://www.cbc.ca+Israel,
CTV News,Canada,https://www.ctvnews.ca,https://www.google.com/search?q=site:https://www.ctvnews.ca+Israel,
Digital Journal,Canada,https://www.digitaljournal.com,https://www.google.com/search?q=site:https://www.digitaljournal.com+Israel,
Financial Post,Canada,https://financialpost.com,https://www.google.com/search?q=site:https://financialpost.com+Israel,
Globe and Mail,Canada,https://www.theglobeandmail.com,https://www.google.com/search?q=site:https://www.theglobeandmail.com+Israel,
Gorilla Radio,Canada,https://www.gorillaradioblog.com,https://www.google.com/search?q=site:https://www.gorillaradioblog.com+Israel,
La Presse,Canada,https://www.lapresse.ca,https://www.google.com/search?q=site:https://www.lapresse.ca+Israel,
Lapresse Canada,Canada,https://www.lapresse.ca,https://www.google.com/search?q=site:https://www.lapresse.ca+Israel,
Le Devoir,Canada,https://www.ledevoir.com,https://www.google.com/search?q=site:https://www.ledevoir.com+Israel,
Metro News,Canada,https://www.metronews.ca,https://www.google.com/search?q=site:https://www.metronews.ca+Israel,
National Post,Canada,https://www.nationalpost.com,https://www.google.com/search?q=site:https://www.nationalpost.com+Israel,
NewspaperDirect,Canada,https://www.newspaperdirect.com,https://www.google.com/search?q=site:https://www.newspaperdirect.com+Israel,
Toronto Star,Canada,https://www.thestar.com,https://www.google.com/search?q=site:https://www.thestar.com+Israel,
