Publication_Name,Country,Website,Google_Search,Isr_Cov_Actual
Bharat Samachar,India,https://bharatsamacharlive.com,https://www.google.com/search?q=site:https://bharatsamacharlive.com+Israel,
BloombergQuint,India,https://www.bloombergquint.com,https://www.google.com/search?q=site:https://www.bloombergquint.com+Israel,
Business Standard,India,https://www.business-standard.com,https://www.google.com/search?q=site:https://www.business-standard.com+Israel,
Business Today,India,https://www.businesstoday.in,https://www.google.com/search?q=site:https://www.businesstoday.in+Israel,
Cricbuzz,India,https://www.cricbuzz.com,https://www.google.com/search?q=site:https://www.cricbuzz.com+Israel,
Deccan Chronicle,India,https://www.deccanchronicle.com,https://www.google.com/search?q=site:https://www.deccanchronicle.com+Israel,
Deccan Herald,India,https://www.deccanherald.com,https://www.google.com/search?q=site:https://www.deccanherald.com+Israel,
Etemaad Daily,India,https://www.etemaaddaily.com,https://www.google.com/search?q=site:https://www.etemaaddaily.com+Israel,
Financial Express,India,https://www.financialexpress.com,https://www.google.com/search?q=site:https://www.financialexpress.com+Israel,
Firstpost,India,https://www.firstpost.com,https://www.google.com/search?q=site:https://www.firstpost.com+Israel,
Hindustan Times,India,https://www.hindustantimes.com,https://www.google.com/search?q=site:https://www.hindustantimes.com+Israel,
India Narrative,India,https://www.indianarrative.com,https://www.google.com/search?q=site:https://www.indianarrative.com+Israel,
India Times,India,https://www.indiatimes.com,https://www.google.com/search?q=site:https://www.indiatimes.com+Israel,
India Today,India,https://www.indiatoday.in,https://www.google.com/search?q=site:https://www.indiatoday.in+Israel,
India TV,India,https://www.indiatvnews.com,https://www.google.com/search?q=site:https://www.indiatvnews.com+Israel,
Indian Express,India,https://www.indianexpress.com,https://www.google.com/search?q=site:https://www.indianexpress.com+Israel,
Indian Express,India,https://indianexpress.com,https://www.google.com/search?q=site:https://indianexpress.com+Israel,
Janata Weekly,India,https://www.janataweekly.org,https://www.google.com/search?q=site:https://www.janataweekly.org+Israel,
Mail Today,India,https://www.mailtoday.in,https://www.google.com/search?q=site:https://www.mailtoday.in+Israel,
Mint,India,https://www.livemint.com,https://www.google.com/search?q=site:https://www.livemint.com+Israel,
Navbharat Times,India,https://navbharattimes.indiatimes.com,https://www.google.com/search?q=site:https://navbharattimes.indiatimes.com+Israel,
NDTV,India,https://www.ndtv.com,https://www.google.com/search?q=site:https://www.ndtv.com+Israel,
News 18,India,https://www.news18.com,https://www.google.com/search?q=site:https://www.news18.com+Israel,
Rediff,India,https://www.rediff.com,https://www.google.com/search?q=site:https://www.rediff.com+Israel,
The Economic Times,India,https://www.economictimes.indiatimes.com,https://www.google.com/search?q=site:https://www.economictimes.indiatimes.com+Israel,
The Hindu,India,https://www.thehindu.com,https://www.google.com/search?q=site:https://www.thehindu.com+Israel,
The New Indian Express,India,https://www.newindianexpress.com,https://www.google.com/search?q=site:https://www.newindianexpress.com+Israel,
The Times of India,India,https://timesofindia.indiatimes.com,https://www.google.com/search?q=site:https://timesofindia.indiatimes.com+Israel,
The Tribune,India,https://www.tribuneindia.com,https://www.google.com/search?q=site:https://www.tribuneindia.com+Israel,
Times of India,India,https://www.timesofindia.indiatimes.com,https://www.google.com/search?q=site:https://www.timesofindia.indiatimes.com+Israel,
Zee News,India,https://zeenews.india.com,https://www.google.com/search?q=site:https://zeenews.india.com+Israel,
