Publication_Name,Country,Website,Google_Search,Isr_Cov_Actual
Business Day,Nigeria,https://businessday.ng,https://www.google.com/search?q=site:https://businessday.ng+Israel,
Daily Post,Nigeria,https://dailypost.ng,https://www.google.com/search?q=site:https://dailypost.ng+Israel,
Daily Times,Nigeria,https://www.dailytimes.ng,https://www.google.com/search?q=site:https://www.dailytimes.ng+Israel,
Daily Trust,Nigeria,https://dailytrust.com,https://www.google.com/search?q=site:https://dailytrust.com+Israel,
Global Times,Nigeria,https://globaltimesng.com,https://www.google.com/search?q=site:https://globaltimesng.com+Israel,
Mirror,Nigeria,https://www.mirrorng.com,https://www.google.com/search?q=site:https://www.mirrorng.com+Israel,
Naija News,Nigeria,https://www.naijanews.com,https://www.google.com/search?q=site:https://www.naijanews.com+Israel,
Nigerian Tribune,Nigeria,https://tribuneonlineng.com,https://www.google.com/search?q=site:https://tribuneonlineng.com+Israel,
Pulse Nigeria,Nigeria,https://www.pulse.ng,https://www.google.com/search?q=site:https://www.pulse.ng+Israel,
Vanguard,Nigeria,https://www.vanguardngr.com,https://www.google.com/search?q=site:https://www.vanguardngr.com+Israel,
