Publication_Name,Country,Website,Google_Search,Isr_Cov_Actual
Anadolu Agency,Turkey,https://www.aa.com.tr,https://www.google.com/search?q=site:https://www.aa.com.tr+Israel,
Bianet,Turkey,https://www.bianet.org,https://www.google.com/search?q=site:https://www.bianet.org+Israel,
Bianet,Turkey,https://bianet.org,https://www.google.com/search?q=site:https://bianet.org+Israel,
Daily Sabah,Turkey,https://www.dailysabah.com,https://www.google.com/search?q=site:https://www.dailysabah.com+Israel,
Habertürk,Turkey,https://www.haberturk.com,https://www.google.com/search?q=site:https://www.haberturk.com+Israel,
Hürriyet Daily News,Turkey,https://www.hurriyetdailynews.com,https://www.google.com/search?q=site:https://www.hurriyetdailynews.com+Israel,
Hurriyet Daily News,Turkey,https://www.hurriyetdailynews.com,https://www.google.com/search?q=site:https://www.hurriyetdailynews.com+Israel,
Hürriyet,Turkey,https://www.hurriyetdailynews.com,https://www.google.com/search?q=site:https://www.hurriyetdailynews.com+Israel,
Milliyet,Turkey,https://www.milliyet.com.tr,https://www.google.com/search?q=site:https://www.milliyet.com.tr+Israel,
TRT World,Turkey,https://www.trtworld.com,https://www.google.com/search?q=site:https://www.trtworld.com+Israel,
