Publication_Name,Country,Website,Google_Search,Isr_Cov_Actual
Africa Intelligence,France,https://www.africaintelligence.com,https://www.google.com/search?q=site:https://www.africaintelligence.com+Israel,
Agence France-Presse (AFP),France,https://www.afp.com,https://www.google.com/search?q=site:https://www.afp.com+Israel,
Capital,France,https://www.capital.fr,https://www.google.com/search?q=site:https://www.capital.fr+Israel,
CNEWS,France,https://www.cnews.fr,https://www.google.com/search?q=site:https://www.cnews.fr+Israel,
Courrier International,France,https://www.courrierinternational.com,https://www.google.com/search?q=site:https://www.courrierinternational.com+Israel,
Euronews,France,https://www.euronews.com,https://www.google.com/search?q=site:https://www.euronews.com+Israel,
EuroNews,France,https://www.euronews.com,https://www.google.com/search?q=site:https://www.euronews.com+Israel,
France 24,France,https://www.france24.com,https://www.google.com/search?q=site:https://www.france24.com+Israel,
Franceinfo,France,https://www.francetvinfo.fr,https://www.google.com/search?q=site:https://www.francetvinfo.fr+Israel,
Jeune Afrique,France,https://www.jeuneafrique.com,https://www.google.com/search?q=site:https://www.jeuneafrique.com+Israel,
L'Express,France,https://www.lexpress.fr,https://www.google.com/search?q=site:https://www.lexpress.fr+Israel,
Le Figaro,France,https://www.lefigaro.fr,https://www.google.com/search?q=site:https://www.lefigaro.fr+Israel,
Le Monde Afrique,France,https://www.lemonde.fr/afrique,https://www.google.com/search?q=site:https://www.lemonde.fr/afrique+Israel,
Le Monde Diplomatique,France,https://mondediplo.com,https://www.google.com/search?q=site:https://mondediplo.com+Israel,
Le Monde,France,https://www.lemonde.fr,https://www.google.com/search?q=site:https://www.lemonde.fr+Israel,
Les Echos,France,https://www.lesechos.fr,https://www.google.com/search?q=site:https://www.lesechos.fr+Israel,
Liberation,France,https://www.liberation.fr,https://www.google.com/search?q=site:https://www.liberation.fr+Israel,
Libération,France,https://www.liberation.fr,https://www.google.com/search?q=site:https://www.liberation.fr+Israel,
RFI (Radio France Internationale),France,https://www.rfi.fr/en,https://www.google.com/search?q=site:https://www.rfi.fr/en+Israel,
