Publication_Name,Country,Website,Google_Search,Isr_Cov_Actual
ABC News,USA,https://abcnews.go.com,https://www.google.com/search?q=site:https://abcnews.go.com+Israel,
Al-Monitor,USA,https://www.al-monitor.com,https://www.google.com/search?q=site:https://www.al-monitor.com+Israel,
Associated Press (AP),USA,https://apnews.com,https://www.google.com/search?q=site:https://apnews.com+Israel,
Atlanta Journal-Constitution,USA,https://www.ajc.com,https://www.google.com/search?q=site:https://www.ajc.com+Israel,
Axios,USA,https://www.axios.com,https://www.google.com/search?q=site:https://www.axios.com+Israel,
Barron's,USA,https://www.barrons.com,https://www.google.com/search?q=site:https://www.barrons.com+Israel,
Bay Area News Group,USA,https://www.bayareanewsgroup.com,https://www.google.com/search?q=site:https://www.bayareanewsgroup.com+Israel,
Bay Area Reporter,USA,https://www.ebar.com,https://www.google.com/search?q=site:https://www.ebar.com+Israel,
Black Star News,USA,https://www.blackstarnews.com,https://www.google.com/search?q=site:https://www.blackstarnews.com+Israel,
Bloomberg,USA,https://www.bloomberg.com,https://www.google.com/search?q=site:https://www.bloomberg.com+Israel,
Boston Globe,USA,https://www.bostonglobe.com,https://www.google.com/search?q=site:https://www.bostonglobe.com+Israel,
Business Insider,USA,https://www.businessinsider.com,https://www.google.com/search?q=site:https://www.businessinsider.com+Israel,
Catholic News Service,USA,https://www.catholicnews.com,https://www.google.com/search?q=site:https://www.catholicnews.com+Israel,
Chicago Reader,USA,https://www.chicagoreader.com,https://www.google.com/search?q=site:https://www.chicagoreader.com+Israel,
Chicago Sun-Times,USA,https://www.suntimes.com,https://www.google.com/search?q=site:https://www.suntimes.com+Israel,
Chicago Tribune,USA,https://www.chicagotribune.com,https://www.google.com/search?q=site:https://www.chicagotribune.com+Israel,
Clarion Ledger,USA,https://www.clarionledger.com,https://www.google.com/search?q=site:https://www.clarionledger.com+Israel,
Cleveland Plain Dealer,USA,https://www.cleveland.com,https://www.google.com/search?q=site:https://www.cleveland.com+Israel,
CNBC,USA,https://www.cnbc.com,https://www.google.com/search?q=site:https://www.cnbc.com+Israel,
CNN International,USA,https://edition.cnn.com,https://www.google.com/search?q=site:https://edition.cnn.com+Israel,
CNN,USA,https://www.cnn.com,https://www.google.com/search?q=site:https://www.cnn.com+Israel,
Defence News,USA,https://www.defensenews.com,https://www.google.com/search?q=site:https://www.defensenews.com+Israel,
Democracy Now!,USA,https://www.democracynow.org,https://www.google.com/search?q=site:https://www.democracynow.org+Israel,
El Nuevo Herald,USA,https://www.elnuevoherald.com,https://www.google.com/search?q=site:https://www.elnuevoherald.com+Israel,
