Publication_Name,Country,Website,Google_Search,Isr_Cov_Actual
7News,Australia,https://7news.com.au,https://www.google.com/search?q=site:https://7news.com.au+Israel,
A Bola,Portugal,https://www.abola.pt,https://www.google.com/search?q=site:https://www.abola.pt+Israel,
ABC News,USA,https://abcnews.go.com,https://www.google.com/search?q=site:https://abcnews.go.com+Israel,
ABC Radio Australia,Australia,https://www.abc.net.au/radio-australia,https://www.google.com/search?q=site:https://www.abc.net.au/radio-australia+Israel,
AD (Algemeen Dagblad),Netherlands,https://www.ad.nl,https://www.google.com/search?q=site:https://www.ad.nl+Israel,
Adelaide Now,Australia,https://www.adelaidenow.com.au,https://www.google.com/search?q=site:https://www.adelaidenow.com.au+Israel,
Adnkronos,Italy,https://www.adnkronos.com,https://www.google.com/search?q=site:https://www.adnkronos.com+Israel,
Afghan Voice Agency,Afghanistan,https://www.avapress.com,https://www.google.com/search?q=site:https://www.avapress.com+Israel,
Africa Intelligence,France,https://www.africaintelligence.com,https://www.google.com/search?q=site:https://www.africaintelligence.com+Israel,
Africanews,Congo,https://www.africanews.com,https://www.google.com/search?q=site:https://www.africanews.com+Israel,
Afrique Panorama,Madagascar,https://www.afriquepanorama.com,https://www.google.com/search?q=site:https://www.afriquepanorama.com+Israel,
Aftenposten,Norway,https://www.aftenposten.no,https://www.google.com/search?q=site:https://www.aftenposten.no+Israel,
Agence France-Presse (AFP),France,https://www.afp.com,https://www.google.com/search?q=site:https://www.afp.com+Israel,
Ahram Hebdo,Egypt,https://hebdo.ahram.org.eg,https://www.google.com/search?q=site:https://hebdo.ahram.org.eg+Israel,
Ahram Online,Egypt,https://english.ahram.org.eg,https://www.google.com/search?q=site:https://english.ahram.org.eg+Israel,
Ahram Weekly,Egypt,https://weekly.ahram.org.eg,https://www.google.com/search?q=site:https://weekly.ahram.org.eg+Israel,
Al Ain News,UAE,https://al-ain.com,https://www.google.com/search?q=site:https://al-ain.com+Israel,
Al Arabiya,Saudi Arabia,https://english.alarabiya.net,https://www.google.com/search?q=site:https://english.alarabiya.net+Israel,
Al Bawaba,Jordan,https://www.albawaba.com,https://www.google.com/search?q=site:https://www.albawaba.com+Israel,
Al Jazeera,Qatar,https://www.aljazeera.com,https://www.google.com/search?q=site:https://www.aljazeera.com+Israel,
Al Sharq,Saudi Arabia,https://www.al-sharq.com,https://www.google.com/search?q=site:https://www.al-sharq.com+Israel,
Al-Ahram,Egypt,https://english.ahram.org.eg,https://www.google.com/search?q=site:https://english.ahram.org.eg+Israel,
Al-Khaleej,UAE,https://www.alkhaleej.ae,https://www.google.com/search?q=site:https://www.alkhaleej.ae+Israel,
Al-Masry Al-Youm,Egypt,https://www.almasryalyoum.com,https://www.google.com/search?q=site:https://www.almasryalyoum.com+Israel,
Al-Masry Al-Youm,Egypt,https://www.egyptindependent.com,https://www.google.com/search?q=site:https://www.egyptindependent.com+Israel,
Al-Monitor,USA,https://www.al-monitor.com,https://www.google.com/search?q=site:https://www.al-monitor.com+Israel,
Al-Quds Al-Arabi,UK,https://www.alquds.co.uk,https://www.google.com/search?q=site:https://www.alquds.co.uk+Israel,
Al-Riyadh,Saudi Arabia,https://www.alriyadh.com,https://www.google.com/search?q=site:https://www.alriyadh.com+Israel,
Al-Watan,Oman,https://www.alwatan.com,https://www.google.com/search?q=site:https://www.alwatan.com+Israel,
Albayan,UAE,https://www.albayan.ae,https://www.google.com/search?q=site:https://www.albayan.ae+Israel,
Algemeen Dagblad,Netherlands,https://www.ad.nl,https://www.google.com/search?q=site:https://www.ad.nl+Israel,
Alwasat,Libya,https://alwasat.ly,https://www.google.com/search?q=site:https://alwasat.ly+Israel,
Ammon News,Jordan,https://en.ammonnews.net,https://www.google.com/search?q=site:https://en.ammonnews.net+Israel,
An Nahar,Lebanon,https://www.annahar.com,https://www.google.com/search?q=site:https://www.annahar.com+Israel,
Anadolu Agency,Turkey,https://www.aa.com.tr,https://www.google.com/search?q=site:https://www.aa.com.tr+Israel,
ANSA,Italy,https://www.ansa.it,https://www.google.com/search?q=site:https://www.ansa.it+Israel,
Antara News,Indonesia,https://en.antaranews.com,https://www.google.com/search?q=site:https://en.antaranews.com+Israel,
Arab News,Saudi Arabia,https://www.arabnews.com,https://www.google.com/search?q=site:https://www.arabnews.com+Israel,
Arab Times,Kuwait,https://www.arabtimesonline.com,https://www.google.com/search?q=site:https://www.arabtimesonline.com+Israel,
Arabian Business,UAE,https://www.arabianbusiness.com,https://www.google.com/search?q=site:https://www.arabianbusiness.com+Israel,
Asharq Al-Awsat,Saudi Arabia,https://english.aawsat.com,https://www.google.com/search?q=site:https://english.aawsat.com+Israel,
Asharq News,Saudi Arabia,https://www.asharq.com,https://www.google.com/search?q=site:https://www.asharq.com+Israel,
Asia News Network,Singapore,https://www.asianews.network,https://www.google.com/search?q=site:https://www.asianews.network+Israel,
Asia News,Italy,https://www.asianews.it,https://www.google.com/search?q=site:https://www.asianews.it+Israel,
